Sr_no,Oracle soluions coupled wih nex-gen ech fech s z resuls.,Senimen(polariy=0.0 sueciviy=0.0),2017-09-30,20,,,,,
248, environmenca: #DYK \xc3\xa2\xe2\x82\xac\xcx9cInui Nunanga\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 means \xc3\xa2\xe2\x82\xac\xc5\x93our Inui lands and waers\xc3\xa2\xe2\x82\xac\xef\x86\x9d? ogeher we are working o help proec i! hps://.co/9Vsxc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,21,,,,,
249, SierraClu If he war on coal is over as EPAs Sco Prui declared his week hen he war on eahing has en launched hps:/\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,77,,,,,
250, Senumenhal: Medical oxygen is a life-and-deah maer for many Pueo Ricans. We demand FEMA ensure a seady supply for all who nee\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.2222222222222222 sueciviy=0.3333333333333333),2017-10-11,116,,,,,
251, KamalaHarris: As a naion of immigrans we can\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 urn our cks on Dreamers poenially forcing hem o leave he only home hey\xc3\xa2\xe2\x82\xac\xe2\x84\xa2ve e\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=1.0),2017-10-11,1540,,,,,
252,n ineresing aicle which iniially looks a he #GDPR laws and hen ges deeper au he proliferaion of #Io\xc3\xa2\xe2\x82\xac\xc2\xa6hps://.co/gXkX43i2,Senimen(polariy=0.25 sueciviy=0.25),2017-10-11,0,,,,,
253, jnapsalo: All my Cs have vaginas.\n#WCW o he dass auiful ye delicae women! You make wier a er place.,Senimen(polariy=0.325 sueciviy=0.7999999999999999),2017-10-11,15,,,,,
254, Canadarade: Canada\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s #I program is here o suppo #womenexpoers in achieving expo goals: hps://.co/Y2omlZJc #GirlslongH\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,3,,,,,
255,s an app-cenric I policy he key o cloud sraegies? hps://.co/i8gzGu5YZC #hyidcloud #cloudcompuing hps://.co/ZyQop4cfNA,Senimen(polariy=0.0 sueciviy=1.0),2017-10-11,0,,,,,
256, CCChallengeFdn: Our incredie fundraisers have azed pas our iniial goal aking us over $114000. #eamColonCancerChallenge hps:\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.21666666666666667 sueciviy=0.3833333333333333),2017-10-11,1,,,,,
257,hinking Ahead: he 2018-2019 FAFSA jus opened. Heres wha you need o know hps://.co/nYKmQi08e3 uidaho\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/xUGjKoP3U,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
258, NRCan: #DYK? Prince Edward Island generaes almos all is elecriciy from #WindPower! #CanWEA hps://.co/QRwqdeR7w2,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,17,,,,,
259, Canadarade: #GenderEqualiy and he empowermen of women and girls is a op prioriy of he Governmen of Canada #GirlslongHere #Day\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.5 sueciviy=0.5),2017-10-11,9,,,,,
260, CanadianPM: PM rudeau and Miniser Freeland discuss access o qualiy educaion for women and girls a a #WomenOne roundae in Washi\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,55,,,,,
261, E_Pinny: Aow Yes you are righ. Here is a map ha show ha. For he original map I only inended o show Cs ha made landfall on\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.22023809523809523 sueciviy=0.7619047619047619),2017-10-11,8,,,,,
262,hy dev eams need o look a #PaaS o suppo heir applicaion modernizaion &amp; #digialransformaion plans.\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/2H5IUQFaFA,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
263, rclaysFooy: .ManCiy face Soke Ciy his weekend.  for a chance o  here. &amp;Cs: hps://.co/2NP67rmF Ends 1pm 11/10/17 h\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,576,,,,,
264, dwdrums: CALI CUSOM SHOP. #dwusa #dwdrums hps://.co/p11K9v9il,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,73,,,,,
265,nurainsyairah Yes or Sunway velociy? :D,Senimen(polariy=1.0 sueciviy=1.0),2017-10-11,0,,,,,
266,ICICInk ICICInk_Care Logou on is always on op righ.\n no for ICICInk ICICInk_Care\n\nanoher ex\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/VmVNHb,Senimen(polariy=0.39285714285714285 sueciviy=0.5178571428571428),2017-10-11,0,,,,,
267,heck ou our new og and find ou why so many accounancy firm have go dly rn  choosing o ousource hei\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/GxNO9qKsiK,Senimen(polariy=-0.06590909090909088 sueciviy=0.5053030303030303),2017-10-11,1,,,,,
268,"ranslaed he English word for red panda is ""Firefox"" which is where he owser ges is name. #echFac",Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,1,,,,,
269, VMohandasPai: he s raining in he worldgges no  PrakashJavdekar dpradhanp PMOIndia CMofKarnaaka PriyankKharge  hps:\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.3),2017-10-11,9,,,,,
270,ow will #AuonomousVehicles impac oher indusries like #healhcare and #hospialiy? Read here\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/gackrUw8,Senimen(polariy=-0.125 sueciviy=0.375),2017-10-11,2,,,,,
271,isi us a #NowForum o know how #AI is crucial o deliver nex gen service experience ransformaion\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/Pf6wrr2z,Senimen(polariy=0.0 sueciviy=0.5),2017-10-11,0,,,,,
272, heSPSingh: Me my friend afer 20 years. We sudied ogeher in class 910 and sayed in same hosel. My friend Sanosh Shrivasava fr\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.125),2017-10-11,1,,,,,
273,ead how SEM programs in rural areas are giving kids new oulooks on fuure life oppouniies: hps://.co/OOKRsX3shx,Senimen(polariy=0.04545454545454545 sueciviy=0.1931818181818182),2017-10-11,0,,,,,
274,uarlingon Happy 122nd hday of cheap qualiy higher educaion. Can wai o ge my InfoSys  hanks for he 3 years and couning.,Senimen(polariy=0.41250000000000003 sueciviy=0.6000000000000001),2017-10-11,0,,,,,
275,onnec wih Reis Informaion Sysems o learn more au our Managed Care Services.\nhps://.co/CR10fJE3C5 hps://.co/QgwASA0wsJ,Senimen(polariy=0.5 sueciviy=0.5),2017-10-11,1,,,,,
276,ockchain disried ledger marke will grow a 57.6% CAGR from 2017-2023. How will differen indusries adop?\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/YPmhO4eW7,Senimen(polariy=0.0 sueciviy=0.6),2017-10-11,0,,,,,
277,UIDAI he #Aadhar #SSUP (online updae) pdf receip doesn display #elugu characers fix asap. CC KRS\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/S4lO5sQsj9,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
278,e are so excied o exhi 2020GroupUK annual conference nex week! ing on rmingham #Accouning #Ousourcing #MD,Senimen(polariy=0.1875 sueciviy=0.375),2017-10-11,3,,,,,
279, 2020GroupUK: he 2020GroupUK 19h Annual Conference 19h &amp; 20h Ocor 2017 hps://.co/ppRzJ6RX #2020Conf hps://.co/gYlYaaDf8I,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,3,,,,,
280, PeopleMaers2: Heaies congraulaions o winners of #LnD awards. #LnDLeague hps://.co/HOYJcIVKa,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,5,,,,,
281,epping down of Sikka has creaed an inflexion poin in India for corporae governance: Expes #vishal #sikkan..\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/AdMwwSZGPB,Senimen(polariy=-0.07777777777777779 sueciviy=0.14444444444444446),2017-10-07,0,,,,,
282, NASSCOMSaUps: Develop significan siness neworks &amp; learn o sraegize in he long-run wih #NPC2017.\nRegiser-hps://.co/8i2kxc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.375 sueciviy=0.875),2017-10-11,17,,,,,
283, liked a Youu video hps://.co/CG5KIKEC aa - Ndaleh (Official Video),Senimen(polariy=0.6 sueciviy=0.8),2017-10-11,0,,,,,
284,"noher cracking piece of work from aafriends on ideniy for MedialaPrado hps://.co/ZmoHdCmIr"" hps://.co/H3c7QE0W2A",Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
285,"smriiirani aaSky :- Respeced madam i\s harassmen or inenional.\naa sky ame me ha when we called u ""u\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/c4LdmmxzLq",Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
286,ne coffee and 3 hours of sleep laer my aa old me o pu some makeup on cause I look like deah?,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
287,harinagpal RNaa2000 aaCompanies #ashamed of ing a #aa Employee. no suppo since 3 days.SR#10FPQ0FW hps://.co/OchQd1qXE,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
288,ovely lile discovery in our gues ok oday. \xc3\xa2\xe2\x82\xac\xc5\x93Special illian delicae paicular...\xc3\xa2\xe2\x82\xac\xef\x86\x9d Sums up aa_eaery\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/vkFzRwscNs,Senimen(polariy=0.23938492063492064 sueciviy=0.6757936507936507),2017-10-11,0,,,,,
289,smriiirani aaSky :- Respeced madam please check how aa sky chea . Every one called me  when aa sky pp\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/oF0DdP5,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
290, dodo: his adorae lile dog wen viral \xc3\xa2\xe2\x82\xac\xe2\x80\x9d  heres he sad ruh hps://.co/HLQLcp0DVh,Senimen(polariy=-0.0625 sueciviy=0.8333333333333334),2017-10-11,948,,,,,
291, KaycGaewood: College expressed in a wee hps://.co/GvoFnGC655,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,11171,,,,,
292, ConexaoS: WHA HE HELL GOOGLE HAHA\n~aa hps://.co/DeQYn8G4Ze,Senimen(polariy=0.2 sueciviy=0.3),2017-10-11,157,,,,,
293, maulinshah9: Nepoism for Campaign finance? Guj Gov may ake over he loss making coal sed power plans of aa Adani Essar. hps\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,51,,,,,
294, ipranavgupa: Glol recession &amp; cos-cuing are eviden in he #PuishingIndusry as I can see a major drop in he no. of exhior\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.10416666666666667 sueciviy=0.25),2017-10-11,14,,,,,
295, aaCompanies: \xc3\xa2\xe2\x82\xac\xc5\x93We are ilding he counry\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s firs #IO nework ouching 400 million lives\xc3\xa2\xe2\x82\xac\xef\x86\x9d - VS Shridhar aa_comm hps://.co/jL\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.375 sueciviy=0.41666666666666663),2017-10-11,20,,,,,
296, paranjoyg: Gujara Governmen May ake Over aa Adani Essar Power Plans - Why peoples money ing used his way? hps://.co/JYI\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,153,,,,,
297,aaSky I m also saying ha aa sky is snaching money from puic\nI don recommend puic o y aaSky \nSelling suandard producs,Senimen(polariy=0.0 sueciviy=0.06666666666666667),2017-10-11,0,,,,,
298, CFN017: Amplify he social impac of your enerprise wih Code For he Nex llion \nNASSCOMSaUps &amp; faceok.\nRegisraions op\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.016666666666666666 sueciviy=0.03333333333333333),2017-10-11,61,,,,,
299, people followed me // auomaically checked  hps://.co/pHJOm3eDU7,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
300," newllmusic: ??New Video!??Conri_y releases ""Ndaleh""! Direced  Ndukongrand. Wach i on New ll Music Channel! hps://.\xc3\xa2\xe2\x82\xac\xc2\xa6",Senimen(polariy=0.17045454545454544 sueciviy=0.45454545454545453),2017-10-11,4,,,,,
301,conjumer2cou aaSky  :- I am harassing las 7 days due o aa sky service  can u convey how o file a case in consumer cou.,Senimen(polariy=-0.0625 sueciviy=0.22083333333333333),2017-10-11,0,,,,,
302, grosieee: when my mom says \xc3\xa2\xe2\x82\xac\xc5\x93 e vas o e quedas ?\xc3\xa2\xe2\x82\xac\xef\x86\x9d hps://.co/uWzSZDQ0jk,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,8,,,,,
303, PhilSchoen: Winner_MLS aa Maino and is no even close,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,1,,,,,
304, Quedeejayy: Yall complaining au Jhene geing a aoo  Sean loves and suppos her hrough EVERYHING. Meanwhile yo nigga don\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,63,,,,,
305,aa ass can cook ??,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
306, Swamy39: Swamy slams SE Chairman for no acing on complains of insider rading agains aa companies hps://.co/KFpGdSvVHX via \xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,303,,,,,
307, snole: aa and chimmy sed off ha cue milk commercial------- ae always sunned  he sunnin jimin- #vmin hps://.co/35fFqd\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.25 sueciviy=0.5),2017-10-11,469,,,,,
308, alesacun: How did his pic jus invie me o his nds ckyard show and preend he didn see me he whole ime hps://.co/fO69wLQ1\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.2 sueciviy=0.4),2017-10-11,1853,,,,,
309,0 Ocor \xc3\xa2\xe2\x82\xac\xcx9c17: he swee fragrance of Rose Day coninues o spread joy amongs he paiens a aa Memorial... hps://.co/S8OzGcolUj,Senimen(polariy=0.5833333333333334 sueciviy=0.6),2017-10-11,0,,,,,
310,Winner_MLS aa Maino and is no even close,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,1,,,,,
311, svaradarajan: Gujara Governmen May ake Over aa Adani Essar Power Plans hps://.co/Zrmjvw5IW via hewire_in,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,35,,,,,
312,y Issei vs oy aa | Silverck Open 2017 | Hiphop eaking: hps://.co/zN1C1 via Youu,Senimen(polariy=0.0 sueciviy=0.5),2017-10-11,0,,,,,
313, JamshedpurFC: Run and you could mee he fooll sars of #JamshedpurFC! aa Seel Jamshedpur Run-a-hon is ck!\nRegiser NOW: hps\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,1,,,,,
314, jus found ou ha here are 21 sickers on line app and i may or may no have gone overard wih he aa s\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/0ApFuVK72x,Senimen(polariy=-0.25 sueciviy=0.15),2017-10-11,0,,,,,
315, iCanSaveLife: #Kolkaa #Oc11\nNeed O-ve ood donors\nA aa Medical Cener\nCall 9831082746\nvia girish2060 cc quizderek v_shakhi #i\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=-0.05 sueciviy=0.05),2017-10-11,8,,,,,
316,Congras o eam Frank Insiue for heir speedy 2nd place finish in he Race for he aas his pas weekend! hps://.co/LNXvDGWcR7,Senimen(polariy=-0.15625 sueciviy=0.125),2017-10-11,0,,,,,
317,ear ussoccer as a follow up wee from wo weeks ago you s sign aa Maino asap and give him he reigns o he program. #USMN,Senimen(polariy=1.0 sueciviy=0.3),2017-10-11,0,,,,,
318,aa iago perol amazing mileage wih full ime ac || some grea rips mus wach|only 40 days old: hps://.co/lARRPu8eDm via,Senimen(polariy=0.4625 sueciviy=0.6000000000000001),2017-10-11,0,,,,,
319,Via Disrup) Securiy for he #Io - Inerne of hreas wih Srinivasan CR. hps://.co/kWjLswJwXN,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
320,ZeeNews GS of Pappu\n\nGood nigh\nSwee dream\naa e e\n?????,Senimen(polariy=0.5249999999999999 sueciviy=0.625),2017-10-11,0,,,,,
321,ake he sones people hrow a you and use hem o ild a monumen. -Raan aa hps://.co/G4OLhwAwWl,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,0,,,,,
322, proshan1996: sanoshgangwar  Uppolice RNaa2000 aaCompanies  FAKE jooffr leer asking 4 Rs.6200 for join aa echnologies.\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=-0.5 sueciviy=1.0),2017-10-11,1,,,,,
323, visied social care professionals in he own of aa oday o advise hem on how o se up an #AlzheimerCaf\xc3\x83\xc2\xa9 . I\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/lXHCFcq0n,Senimen(polariy=0.03333333333333333 sueciviy=0.06666666666666667),2017-10-11,0,,,,,
324,aaSky i canno view HD+1 channels on my new aa sky x.. have paid full HD access fee.. solve he proem!,Senimen(polariy=0.2869318181818182 sueciviy=0.5022727272727273),2017-10-11,0,,,,,
325,sjames_fi Woah ha coss more han my aa\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s ?? hey as long as i\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s woh i for you ha\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s all ha maers!,Senimen(polariy=0.27499999999999997 sueciviy=0.3333333333333333),2017-10-11,0,,,,,
326, anjali_damania: De ridden SL prepares exi plan. 5101 employees o come joess. Many cos shuing  All is well says Gov h\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.5 sueciviy=0.5),2017-10-11,48,,,,,
327, suekenmax: UKrickyricky lddigger52 Well !!! I canno lieve i was acually FOLLOWING  you ... recified ..no ineresed in you o\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.125 sueciviy=0.3),2017-10-11,1,,,,,
328, GymGospel: Nike hps://.co/iyUXiDPxvd,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,26,,,,,
329,aa Seel srenghens posiion in low-carn fuure echnology hps://.co/6WfnuJpIvu,Senimen(polariy=0.0 sueciviy=0.125),2017-10-11,0,,,,,
330, aaSeelLd: We are delighed o acquire full inellecual propey righs for Hlsarna an innovaive seel making echnology hps://\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.46249999999999997 sueciviy=0.6625),2017-10-11,4,,,,,
331, GymGospel: Lower dy Workou hps://.co/Im3WS9g,Senimen(polariy=0.0 sueciviy=0.0),2017-10-11,33,,,,,
332, dangermouseHQ:  for a chance o win his person-sized Danger Mouse cu-ou. &amp;Cs apply: hps://.co/ZGXFdpvlIA hps://.co/xLoPPjh\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.8 sueciviy=0.4),2017-10-12,8,,,,,
333, for a chance o win his person-sized Danger Mouse cu-ou. &amp;Cs apply: hps://.co/ZGXFdpvlIA hps://.co/xLoPPjh2e,Senimen(polariy=0.8 sueciviy=0.4),2017-10-12,8,,,,,
334, Liy1417S: Hold up ch! You jus ed my Cs suwees o me.\n\n*Desperae housewives of wier,Senimen(polariy=-0.6 sueciviy=1.0),2017-10-12,15,,,,,
335, Uquious: ckside of he Sorm\n#phoography  Michael illoson\n#Neaska #lighning #weaher #phoo #NEwx #ravel ??\nhps://.c\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,38,,,,,
336, RenierJusWonI: Win 1 of 3 Home Make-Overs valued a R50 000 each wih UnileverSA &amp; PicknPay! Ends 30 Oc &amp;cs: hps://.co/Acvmk\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.4),2017-10-12,1,,,,,
337, RenierJusWonI: Win a Paio Se o he value of approximaely R6000.00 wih PicknPay &amp; #anSannieMelke! Ends 22 Oc &amp;Cs: hps\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.15000000000000002 sueciviy=0.5),2017-10-12,1,,,,,
338,e are cheering on MICHAEL HAUGHEY as he prepares for he New York Ciy Marahon o nefi #FallenParios!!\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/8ONs0ihrMa,Senimen(polariy=0.13636363636363635 sueciviy=0.45454545454545453),2017-10-12,0,,,,,
339,ChrisSmalling ManUd Youre no playing mae,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,0,,,,,
340, Canadarade: # o 1969 when Paricia Marsden-Dole came ?? 1s female #rade Commissioner eaking new ground for women #WomensHis\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.06818181818181818 sueciviy=0.3106060606060606),2017-10-12,6,,,,,
341, mshagerman: uOawaEdu Cs! Updaed professional advisory on use of social media from OC_OEEO hps://.co/OaprkuZM cc racy_cro\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.06666666666666667 sueciviy=0.08333333333333334),2017-10-12,1,,,,,
342,L504 CarlnksGIII Wih Cs inpu overseeing Mac,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,0,,,,,
343,uOawaEdu Cs! Updaed professional advisory on use of social media from OC_OEEO hps://.co/OaprkuZM cc racy_crowe nick_ngafook,Senimen(polariy=0.06666666666666667 sueciviy=0.08333333333333334),2017-10-12,1,,,,,
344, UeacherEd: Happy #WorldeachersDay o eachers around he world and in paicular U alumni curren Cs and school &amp; faculy advi\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.32222222222222224 sueciviy=0.5777777777777778),2017-10-12,12,,,,,
345,Win a Paio Se o he value of approximaely R6000.00 wih PicknPay &amp; #anSannieMelke! Ends 22 Oc &amp;Cs:\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/ncaSdlxyGl,Senimen(polariy=0.15000000000000002 sueciviy=0.5),2017-10-12,1,,,,,
346, 2morrowknigh: Which op 5 #AI-suppoed aciviies are leading #Digial ransformaion?\n\n#MachineLearning #Analyics #IoE #gdaa #Io\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.25 sueciviy=0.25),2017-10-12,3,,,,,
347,n his og we explore how #AI models capialize on #gDaa o reinven #logisics indusry.\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/gnow1YVdvp,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,4,,,,,
348,raveller_Makk weeingsourav Muhy would  presiden and Nilekani would  HRD min had heir 2014 plan A worke\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/v8Ja352gfJ,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,0,,,,,
349,hich op 5 #AI-suppoed aciviies are leading #Digial ransformaion?\n\n#MachineLearning #Analyics #IoE\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/4s0HIuEWM,Senimen(polariy=0.25 sueciviy=0.25),2017-10-12,3,,,,,
350,an o know more au our producs &amp; soluions? Reques a free #demo wih a live represenaive: hps://.co/6ZLezvJm0o #CRM #finserv,Senimen(polariy=0.34545454545454546 sueciviy=0.6),2017-10-12,0,,,,,
351, edge_verve: he #AuonomousVehicles #Indusry is expeced o grow o $126.8 llion  2027. #ech #og #Innovaion #Drones #SelfDrivi\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=-0.1 sueciviy=0.4),2017-10-12,2,,,,,
352, kerszi: Seriously. hese are skills ha employers wan need &amp; value. How are we helping his o happen? Wha do we need o change? #\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=-0.3333333333333333 sueciviy=0.6666666666666666),2017-10-12,37,,,,,
353,reaed in 1956 he firs ever VCR was he size of a piano. #echFac hps://.co/4SLvGVEf9k,Senimen(polariy=0.25 sueciviy=0.3333333333333333),2017-10-12,1,,,,,
354, Narryhyd: Good luck o all he echnology pilos ..\nhps://.co/4ZWyWioOhH,Senimen(polariy=0.7 sueciviy=0.6000000000000001),2017-10-12,2,,,,,
355,re-Marke echnical Pulse on echnical &amp; Sysem Sofware Socks -- ACI Worldwide\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/yAgUu5S1 #realimepaymens #merchans,Senimen(polariy=0.0 sueciviy=0.1),2017-10-12,0,,,,,
356,Why is i impoan for organizaions o move from compeiion o Coopeiion? Read o find ou\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/2oxF7qDN,Senimen(polariy=0.4 sueciviy=1.0),2017-10-12,1,,,,,
357,ur channel paner ool gives end-o-end visiliy of your sales channels. More a #DF17 oh 1715\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/jk3p46mOPg,Senimen(polariy=0.5 sueciviy=0.5),2017-10-12,0,,,,,
358,Whas he nex g hing in he #nking &amp; #financialservices indusry? Find ou a oh J51.\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/4jcvdcqU,Senimen(polariy=0.0 sueciviy=0.05),2017-10-12,0,,,,,
359, allspics: jimin speaking japanese will forever  one of he cues hings youll hear in your life #HappyJiminDay hps://.co/GnN7L\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,921,,,,,
360, himanaswa: aa/L1 or sae level cancer care ins a Guwahai o have advanced eiary care faciliies &amp; shall caer o needs of\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.4 sueciviy=0.6),2017-10-12,58,,,,,
361,nalyics firm Nielsen paners wih Raan aa-cked ech sa-up Snapzz hps://.co/V4prYJfEFm,Senimen(polariy=-0.2 sueciviy=0.4),2017-10-12,0,,,,,
362, shikorina__: \xc3\xa2\xe2\x82\xac\xc5\x93I need ongue I need face give me ain concenrae\xc3\xa2\xe2\x82\xac\xef\x86\x9d hps://.co/Flzk6L1Uq,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,1,,,,,
363, Ajikumar_Kanan: aa Group o exi elecom secor amids growing losses; 5000 jo hang in lance: Repo hps://.co/07Oho8K via\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,61,,,,,
364,lawavyona Same here w yellow  ?? I love i,Senimen(polariy=0.16666666666666666 sueciviy=0.24166666666666667),2017-10-12,0,,,,,
365,hrough our panership wih he Royal Sociey Fellowships scheme we srive o make an impac on UK #SEM careers\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/nNQrpFVJPl,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,0,,,,,
366, sanjayfna: aa eleservices - ai Aiel Merger - his was I weeed On 28h June 2017 ?\nhps://.co/qsnyEay9mc,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,47,,,,,
367,ALUD MLS Who here hinks aa Maino will win #MLS #CoachOfheYear ? ?????,Senimen(polariy=0.8 sueciviy=0.4),2017-10-12,0,,,,,
368, lawavyona: I used o hae hem  now I hink heyre my hing hps://.co/hhpHcUKDQ,Senimen(polariy=-0.8 sueciviy=0.9),2017-10-12,1,,,,,
369,aa company o ake over Aiel soon...,Senimen(polariy=0.0 sueciviy=0.0),2017-10-12,0,,,,,
370, SweaerpawsChim: you shine so igh ?\n#HappyJiminDay S_w hps://.co/zpi9sHJk,Senimen(polariy=0.7000000000000001 sueciviy=0.7999999999999999),2017-10-12,541,,,,,
